Dom	DistDiff
1a9xG02	0.2094
1a9xG03	0.2311
1a9xG04	0.135
1a9xG05	0.063
1a9xG06	0.1642
1a9xG07	1.6677
1a9xG08	0.1822
1a9xH01	0.0458
1a9xH02	0.2897
1a9yA01	0.2029
1a9yA02	0.7576
1a9zA01	0.2336
1a9zA02	0.5493
1aa1B01	0.4176
1aa1B02	0.5831
1aa1E01	0.4175
1aa1E02	0.5831
1aa1H01	0.4175
1aa1H02	0.583
1aa1L01	0.4175
1aa1L02	0.5831
1aa3A00	0.57
1aa4A01	0.4285
1aa4A02	0.4259
1aa9A00	1.6325
1aacA00	0.2765
1aajA00	0.2549
1aalA00	0.346
1aalB00	0.122
1aamA01	0.5807
1aamA02	0.406
1aanA00	0.2677
1aapA00	0.2276
1aapB00	0.1815
1aarA00	0.2877
1aarB00	0.2997
1aawA01	0.4112
1aawA02	0.3977
1aaxA00	0.4525
1aayA01	0.3018
1aayA02	0.1373
1aayA03	0.1995
1ab0A00	0.2738
1ab1A00	0.1454
1ab2A00	2.1234
1ab5A00	0.514
1ab5B00	0.6791
1ab6A00	0.5146
1ab6B00	0.5479
1ab7A00	0.3794
1ab8A00	2.6836
1ab8B00	0.3487
1ab9B00	0.3873
1ab9C00	0.3784
1abbA01	6.5172
1abbA02	0.2557
1abbB01	6.4212
1abbB02	0.2256
1abbC01	6.662
1abbC02	0.2051
1abbD01	6.5248
1abbD02	0.275
1abeA01	0.0435
1abeA02	0.0581
1abfA01	0.0356
1abfA02	0.0467
1abiH01	4.4121
1abiH02	0.3445
1abjH01	4.2716
1abjH02	0.2721
1aboA00	0.3504
1aboB00	0.2517
1abqA00	0.3547
1absA00	0.3982
1abtA00	3.2549
1abvA00	0.7116
1abwA01	0.313
1abwB00	0.5036
1abwD00	0.1988
1abyA01	0.4896
1abyB00	0.5463
1abyD00	0.483
1ac1A00	0.2704
1ac1B00	0.2499
1ac4A01	0.4785
1ac4A02	0.4969
1ac8A01	0.4333
1ac8A02	0.427
1acbE01	0.4985
1acbE02	0.3863
1acbI00	0.1213
1accA01	2.0956
1accA02	0.6719
1accA03	0.903
1accA04	0.3964
1acdA00	0.2703
1acjA00	0.1775
1aclA00	0.7488
1acmA01	0.4159
1acmA02	0.802
1acmB01	0.3579
1acmB02	0.2645
1acmC01	0.3817
1acmC02	0.8299
1acmD01	0.5184
1acmD02	0.5993
1acpA00	4.4872
1acvA00	0.2709
1acvB00	0.2158
1acyH01	30.3183
1acyH02	1.3426
1ad2A01	0.2604
1ad2A02	0.3472
1ad5A01	0.3058
1ad5A02	0.4723
1ad5A03	0.2671
1ad5A04	1.4939
1ad5B01	0.3074
1ad5B02	0.415
1ad5B03	0.2955
1ad5B04	1.4907
1ad6A00	4.8579
1ad8H01	4.2051
1ad8H02	0.2968
1adbA01	0.41
1adbA02	0.4576
1adbB01	0.5205
1adbB02	0.4637
1adcA01	0.2193
1adcA02	0.3215
1adcB01	0.278
1adcB02	0.3176
1addA00	0.8535
1adeA01	0.6249
1adeA02	0.3732
1adeA03	0.9965
1adeB01	0.6192
1adeB02	1.4766
1adeB03	0.6314
1adfA01	0.4092
1adfA02	0.5907
1adgA01	0.2174
1adgA02	0.4534
1adiA01	0.6963
1adiA02	0.6587
1adiA03	0.5151
1adiB01	0.5923
1adiB02	0.5612
1adiB03	0.5481
1adlA00	0.1859
1adoA00	0.6222
1adoB00	0.4142
1adoC00	0.7491
1adoD00	0.6805
1adqA01	1.6519
1adqA02	0.1261
1adsA00	0.5737
1adxA00	4.6116
1ae6H01	1.647
1ae6H02	0.4471
1ae8H01	4.38
1ae8H02	0.3575
1aebA01	0.4339
1aebA02	0.427
1aedA01	0.4339
1aedA02	0.427
1aeeA01	0.4539
1aeeA02	0.165
1aefA01	0.4339
1aefA02	0.427
1aegA01	0.4339
1aegA02	0.427
1aehA01	0.4339
1aehA02	0.427
1aejA01	0.4339
1aejA02	0.427
1aekA01	0.4339
1aekA02	0.427
1aelA00	1.2153
1aemA01	0.4339
1aemA02	0.427
1aenA01	0.4785
1aenA02	0.4969
1aeoA01	0.4785
1aeoA02	0.4969
1aeqA01	0.4339
1aeqA02	0.427
1aerA00	0.735
1aerB00	1.4008
1aesA01	0.4639
1aesA02	0.1271
1aetA01	0.4824
1aetA02	0.2206
1aeuA01	0.4785
1aeuA02	0.4969
1aevA01	0.441
1aevA02	0.4454
1aewA00	0.3262
1aexA00	0.4329
1aeyA00	0.5542
1af4A00	0.5795
1af5A00	0.7013
1af8A00	1.9012
1af9A01	2.3822
1af9A02	0.6087
1afeH01	4.4119
1afeH02	0.2481
1afhA00	0.4785
1afkA00	0.2921
1afkB00	0.3055
1aflA00	0.3564
1aflB00	0.2097
1afoA00	3.2158
1afoB00	4.6992
1afqB00	0.4157
1afqC00	0.3518
1afuA00	0.1412
1afuB00	0.4055
1afvH01	0.4914
1afvH02	0.4479
1afvK01	0.4923
1afvK02	0.4834
1ag0A00	0.3108
1ag0B00	0.3078
1ag1O00	2.0396
1ag1T00	0.3324
1ag2A00	1.7757
1agbA01	0.4761
1agbA02	0.328
1agbB00	0.1653
1agcA01	0.1875
1agcA02	0.2022
1agcB00	0.409
1agdA01	0.5197
1agdA02	0.1548
1agdB00	0.5192
1ageA01	0.5356
1ageA02	0.0852
1ageB00	0.5105
1agfA01	0.451
1agfA02	0.1294
1agfB00	0.4709
1agpA00	0.1644
1agrA01	0.7267
1agrA02	0.6618
1agrD01	0.6538
1agrD02	0.1325
1agwA01	0.3592
1agwA02	7.6668
1agwB01	0.2569
1agwB02	6.0704
1agyA00	1.0042
1ah1A00	4.5986
1ah6A00	8.9488
1ah8A00	8.9489
1ah8B00	8.8199
1ahaA01	0.299
1ahaA02	0.095
1ahbA01	0.3622
1ahbA02	0.7378
1ahcA01	0.2856
1ahcA02	0.3294
1aheA01	0.2223
1aheA02	0.2481
1aheB01	0.2234
1aheB02	0.255
1ahfA01	0.2163
1ahfA02	0.3662
1ahfB01	0.2797
1ahfB02	0.1947
1ahgA01	0.2725
1ahgA02	0.4856
1ahgB01	0.3283
1ahgB02	0.2795
1ahjA00	0.3017
1ahjB01	0.0441
1ahjB02	0.0108
1ahjC00	0.2981
1ahjD01	0.1068
1ahjD02	0.0212
1ahjE00	0.2958
1ahjF01	0.0389
1ahjF02	0.0206
1ahjG00	0.297
1ahjH01	0.0536
1ahjH02	0.027
1ahpA01	0.3012
1ahpA02	0.5739
1ahpB01	0.3012
1ahpB02	0.5708
1ahrA00	4.2665
1ahtH01	4.3036
1ahtH02	0.3585
1ahuA01	1.0677
1ahuA02	0.4424
1ahuA03	0.3267
1ahuA04	0.3175
1ahuB01	1.0678
1ahuB02	0.4422
1ahuB03	0.3267
1ahuB04	0.3111
1ahvA01	0.4138
1ahvA02	0.4634
1ahvA03	0.4888
1ahvA04	0.0669
1ahvB01	0.4138
1ahvB02	0.4632
1ahvB03	0.4891
1ahvB04	0.0669
1ahwA02	0.5671
1ahwC01	0.8946
1ahwC02	0.2554
1ahwD02	0.5363
1ahwF01	0.9351
1ahwF02	0.2494
1ahxA01	0.4914
1ahxA02	0.2704
1ahxB01	0.3643
1ahxB02	0.3228
1ahyA01	0.206
1ahyA02	0.383
1ahyB01	0.3045
1ahyB02	0.363
1ahzA01	0.4146
1ahzA02	0.454
1ahzA03	0.5055
1ahzA04	0.0959
1ahzB01	0.4146
1ahzB02	0.454
1ahzB03	0.5054
1ahzB04	0.0958
1ai1H02	0.4712
1ai1L02	0.2836
1ai2A00	0.3797
1ai3A00	0.5632
1ai4A01	0.4812
1ai4A02	0.2135
1ai4B01	0.819
1ai4B02	0.1723
1ai4B03	0.4194
1ai5A01	0.4675
1ai5A02	0.1683
1ai5B01	0.4869
1ai5B02	0.1398
1ai5B03	0.602
1ai6A01	0.4549
1ai6A02	0.185
1ai6B01	0.3715
1ai6B02	0.1248
1ai6B03	0.5828
1ai7A01	0.4711
1ai7A02	0.144
1ai7B01	0.4872
1ai7B02	0.1259
1ai7B03	0.5585
1ai8H01	4.4195
1ai8H02	0.2713
1ai9A00	0.2919
1ai9B00	0.2459
1aiaA01	0.3912
1aiaA02	0.372
1aiaB01	0.1874
1aiaB02	0.2957
1aibA01	0.3684
1aibA02	0.3154
1aibB01	0.398
1aibB02	0.3207
1aicA01	0.4209
1aicA02	0.4264
1aicB01	0.2325
1aicB02	0.3521
1aifA02	0.3455
1aifL02	0.3438
1aigH01	0.5591
1aigH02	0.1994
1aigL01	0.6214
1aigL02	0.5184
1aigM01	0.2697
1aigM02	0.3205
1aigN01	0.288
1aigN02	0.3854
1aigO01	0.1891
1aigO02	0.2427
1aigP01	0.4104
1aigP02	0.2626
1aijH01	0.5427
1aijH02	0.4971
1aijL01	0.2477
1aijL02	0.1355
1aijM01	0.2344
1aijM02	0.1538
1aijR01	0.3157
1aijR02	0.1378
1aijS01	0.1719
1aijS02	0.2086
1aijT01	0.4655
1aijT02	0.4233
1aimA00	0.2354
1aiqA00	0.2043
1aiqB00	0.4939
1airA00	0.3973
1aiuA00	0.3318
1aivA01	0.8338
1aivA02	0.711
1aivA03	1.1621
1aivA04	0.4475
1aixH01	4.4192
1aixH02	0.3127
1aj3A00	0.7341
1aj6A00	5.6705
1aj7H02	0.7299
1aj9A00	0.3326
1aj9B00	0.3018
1ajaA00	0.4809
1ajaB00	0.3103
1ajbA00	0.3388
1ajbB00	0.1919
1ajcA00	0.426
1ajcB00	0.2539
1ajdA00	0.4357
1ajdB00	0.5049
1ajgA00	0.4506
1ajhA00	0.4368
1ajmA00	0.2394
1ajnA01	0.4517
1ajnA02	0.2087
1ajnB01	0.4975
1ajnB02	0.1528
1ajnB03	0.6003
1ajoA00	15.46
1ajoB00	12.3299
1ajpA01	0.5018
1ajpA02	0.1922
1ajpB01	0.7035
1ajpB02	0.1254
1ajpB03	0.6314
1ajqA01	0.4511
1ajqA02	0.1653
1ajqB01	0.4547
1ajqB02	0.1439
1ajqB03	0.5322
1ak1A01	0.4276
1ak1A02	0.2433
1ak4A00	0.3146
1ak4B00	0.3161
1ak8A00	1.2363
1ak9A00	0.5697
1akaA01	0.4177
1akaA02	0.2095
1akaB01	0.3608
1akaB02	0.1398
1akbA01	0.6169
1akbA02	0.2842
1akcA01	0.611
1akcA02	0.5283
1akdA00	0.3213
1akeA00	0.718
1akeB00	0.6196
1akiA00	0.1521
1akjA01	0.4607
1akjA02	0.2274
1akjB00	0.3904
1akkA00	0.7253
1akqA00	0.2444
1akrA00	0.5881
1aksA00	0.445
1aksB00	0.2377
1aktA00	0.4646
1akuA00	0.7771
1akvA00	0.2728
1akwA00	0.6338
1akzA00	0.2899
1al7A00	1.8746
1al8A00	3.6515
1albA00	0.5283
1alhA00	0.4778
1alhB00	0.4787
1aliA00	0.5258
1aliB00	0.5289
1aljA00	0.4673
1aljB00	0.4813
1alkA00	0.4154
1alkB00	0.2658
1alqA00	11.5763
1aluA00	0.5798
1am1A00	9.2124
1am4D00	0.6902
1am4E00	0.7098
1am4F00	0.7144
1am6A00	0.2265
1amaA01	0.646
1amaA02	0.3968
1amhA01	0.6436
1amhA02	0.317
1amhB01	0.6749
1amhB02	0.3382
1amkA00	0.512
1amlA00	14.1316
1ammA01	0.2529
1ammA02	0.5102
1amnA00	0.6962
1amoA01	0.3975
1amoA02	0.5687
1amoA03	0.1793
1amoA04	0.1479
1amoB01	0.3975
1amoB02	0.5687
1amoB03	0.1793
1amoB04	0.1435
1ampA00	0.5128
1amqA01	0.3343
1amqA02	0.2591
1amrA01	0.1573
1amrA02	0.3981
1amsA01	0.2337
1amsA02	0.5085
1amwA00	9.2146
1an0A00	1.4528
1an0B00	1.1883
1an1E01	0.3409
1an1E02	0.1715
1an5A00	0.2569
1an5B00	0.3094
1an9A01	0.2074
1an9A02	0.1449
1an9B01	0.454
1an9B02	0.5151
1anbA01	0.3628
1anbA02	0.2699
1ancA01	0.3798
1ancA02	0.0855
1andA01	0.4056
1andA02	0.1625
1aneA01	0.3684
1aneA02	0.1459
1anfA01	0.3812
1anfA02	0.2832
1angA00	0.3224
1aniA00	0.4631
1aniB00	0.4654
1anjA00	0.4183
1anjB00	0.4591
1ankA00	0.6991
1ankB00	0.3419
1antI01	5.0989
1antI02	4.0568
1antL01	6.7318
1antL02	2.5055
1anwA01	0.3072
1anwA02	0.4555
1anwA03	3.7178
1anwA04	0.1456
1anwB01	0.3162
1anwB02	0.4162
1anwB03	3.8154
1anwB04	0.1362
1anxA01	0.1739
1anxA02	0.2914
1anxA03	0.4384
1anxA04	0.1885
1anxB01	0.202
1anxB02	0.3155
1anxB03	0.4336
1anxB04	0.3236
1anxC01	0.217
1anxC02	0.3753
1anxC03	0.4524
1anxC04	0.2241
1ao6A01	1.0199
1ao6A02	0.4218
1ao6A03	0.3342
1ao6A04	0.2882
1ao6A05	0.2623
1ao6A06	0.6311
1ao6B01	0.7971
1ao6B02	0.328
1ao6B03	0.2966
1ao6B04	0.2002
1ao6B05	0.2574
1ao6B06	0.6361
1ao7A01	0.7033
1ao7A02	0.5672
1ao7B00	0.5015
1ao7E02	0.5621
1ao7E02	0.5621
1ao8A00	0.6885
1aobA00	0.5056
1aoeA00	0.6222
1aoeB00	0.2826
1aofA01	5.3618
1aofA02	0.2282
1aofB01	5.3527
1aofB02	0.1526
1aoiA00	0.2304
1aoiB00	0.6505
1aoiC00	0.6831
1aoiD00	1.1337
1aoiE00	3.0538
1aoiF00	0.2306
1aoiG00	0.1894
1aoiH00	1.0973
1aomA00	0.2734
1aomB01	0.187
1aomB02	0.1853
1aonA01	0.7776
1aonA02	0.3356
1aonA03	0.6437
1aonB01	0.7053
1aonB02	0.3565
1aonB03	0.6723
1aonC01	0.6819
1aonC02	0.3619
1aonC03	0.7258
1aonD01	0.8415
1aonD02	0.3199
1aonD03	0.6183
1aonE01	0.7065
1aonE02	0.3482
1aonE03	0.6739
1aonF01	0.5953
1aonF02	0.2764
1aonF03	0.6922
1aonG01	0.6826
1aonG02	0.395
1aonG03	0.6225
1aonH01	0.7232
1aonH02	0.4866
1aonH03	0.3269
1aonI01	0.6978
1aonI02	0.2867
1aonI03	0.3862
1aonJ01	0.7227
1aonJ02	0.387
1aonJ03	0.423
1aonK01	0.791
1aonK02	0.4134
1aonK03	0.3871
1aonL01	0.7216
1aonL02	0.354
1aonL03	0.3037
1aonM01	0.7235
1aonM02	0.4129
1aonM03	0.3302
1aonN01	0.814
1aonN02	0.5557
1aonN03	0.3767
1aonO00	2.8569
1aonP00	2.9416
1aonQ00	2.8842
1aonR00	2.9734
1aonS00	2.9006
1aonT00	2.9847
1aonU00	2.8481
1aopA01	0.5587
1aopA02	0.4332
1aopA03	0.2805
1aoqA01	0.0486
1aoqA02	0.1728
1aoqB01	0.0899
1aoqB02	0.492
1aotF00	1.1412
1aouF00	1.1221
1aoxA00	0.3447
1aoxB00	0.3541
1ap4A00	2.0775
1ap5A01	0.3277
1ap5A02	0.3498
1ap5B01	0.2977
1ap5B02	0.1305
1ap6A01	0.0419
1ap6A02	0.1107
1ap6B01	0.0167
1ap6B02	0.1053
1ap9A00	2.2305
1apbA01	0.0522
1apbA02	0.2634
1apcA00	5.1774
1apmE01	0.3097
1apmE02	0.2898
1apnA00	14.8162
1apnB00	14.5655
1apqA00	3.7912
1aptE01	0.2502
1aptE02	0.6289
1apuE01	0.2413
1apuE02	0.8828
1apvE01	0.2435
1apvE02	0.4572
1apwE01	0.2339
1apwE02	0.451
1aq1A01	0.4003
1aq1A02	0.7346
1aq2A01	0.4499
1aq2A02	3.9657
1aq2A03	4.487
1aq7A01	0.1275
1aq7A02	0.4971
1aq8A01	0.1032
1aq8A02	0.041
1aq8B01	0.1867
1aq8B02	0.2122
1aq8C01	0.0566
1aq8C02	0.3456
1aqaA00	0.3524
1aqdA01	0.2221
1aqdA02	0.2121
1aqdB01	0.1131
1aqdB02	0.4316
1aqdD01	0.2122
1aqdD02	0.1969
1aqdE01	0.4137
1aqdE02	0.4781
1aqdG01	0.2212
1aqdG02	0.1471
1aqdH01	0.1754
1aqdH02	0.5122
1aqdJ01	0.4549
1aqdJ02	0.2005
1aqdK01	0.2323
1aqdK02	0.6627
1aqiA01	0.5024
1aqiA02	0.3653
1aqiB01	0.3527
1aqiB02	0.3673
1aqjA01	0.6564
1aqjA02	0.4129
1aqjB01	3.6782
1aqjB02	0.34
1aqkH02	0.3795
1aqkL02	0.2087
1aqnA00	0.5713
1aqpA00	0.3361
1aqtA01	0.2762
1aqtA02	0.1419
1aqvA01	0.2655
1aqvA02	0.1543
1aqvB01	0.2752
1aqvB02	0.2035
1aqwA01	0.17
1aqwA02	0.1816
1aqwB01	0.1319
1aqwB02	0.0668
1aqwC01	0.1817
1aqwC02	0.0244
1aqwD01	0.1734
1aqwD02	0.1911
1aqxA01	0.1848
1aqxA02	0.5473
1aqxB01	0.228
1aqxB02	0.1814
1aqxC01	0.1953
1aqxC02	0.3792
1aqxD01	0.2807
1aqxD02	0.5223
1ar0A00	0.4049
1ar0B00	0.3245
1argA01	0.1149
