Dom	SP_PRIMARY	af2ResBoundary	af2DomLen	PID	PID1	pLDDTq10	pLDDTq20	pLDDTq30	RMSD6	Nter_trunc	Cter_trunc
121pA00	P01112	1-166	166	100	100	91.4	94.98	97.005	0.701	FALSE	FALSE
132lA00	P00698	20-30,32-50,52-114,116-133,135-147	124	96.875	100	96.899	97.782	98.229	0.934	FALSE	FALSE
12gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.184	FALSE	FALSE
134lA00	P61626	19-148	130	99.231	99.231	97.56	98.18	98.484	0.499	FALSE	FALSE
1a00B00	P68871	2-147	146	98.63	98.63	95.69	96.89	97.375	0.558	FALSE	FALSE
1a0oA00	P0AE67	2-129	128	100	100	95.058	96.684	97.523	0.61	FALSE	FALSE
1a00C00	P69905	2-142	141	100	100	97.6	98	98.35	0.296	FALSE	FALSE
133lA00	P61626	19-148	130	99.231	99.231	97.56	98.18	98.484	0.443	FALSE	FALSE
1a01B00	P68871	2-147	146	98.63	98.63	95.69	96.89	97.375	0.579	FALSE	FALSE
18gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.155	FALSE	FALSE
14gsA01	P09211	3-37,52-79,188-208	84	40.291	98.81	97.383	97.91	98.194	2.083	FALSE	FALSE
14gsB01	P09211	3-37,52-79,188-208	84	40.291	98.81	97.383	97.91	98.194	2.083	FALSE	FALSE
1a01A00	P69905	2-142	141	100	100	97.6	98	98.35	0.321	FALSE	FALSE
13gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.184	FALSE	FALSE
1a0hA01	P00735	208-296	89	98.876	98.876	72.886	86.166	89.28	2.012	FALSE	FALSE
13gsB01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.316	FALSE	FALSE
1a01C00	P69905	2-142	141	100	100	97.6	98	98.35	0.231	FALSE	FALSE
13gsA01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.316	FALSE	FALSE
1a01D00	P68871	2-147	146	98.63	98.63	95.69	96.89	97.375	0.59	FALSE	FALSE
14gsA02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.239	FALSE	FALSE
1a09A00	P12931	144-249	106	100	100	88.93	90.39	92.095	0.808	FALSE	FALSE
1a08A00	P12931	145-249	105	100	100	89.03	90.494	92.122	0.666	FALSE	FALSE
135lA00	P00703	19-147	129	100	100	96.812	97.872	98.344	0.387	FALSE	FALSE
1a07A00	P12931	145-249	105	100	100	89.03	90.494	92.122	0.611	FALSE	FALSE
1a09B00	P12931	148-249	102	100	100	89.015	90.416	92.089	0.764	FALSE	FALSE
14gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.239	FALSE	FALSE
1a0hA02	P00735	307-356	50	100	100	38.101	43.286	67.555	10.389	TRUE	TRUE
13gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.184	FALSE	FALSE
15c8H01	P01869	232-350	119	18.487	18.487	53.108	86.044	92.592	23.815	FALSE	FALSE
1a08B00	P12931	146-249	104	100	100	89.025	90.468	92.107	0.571	FALSE	FALSE
1a0hB01	P00735	367-378,484-610	139	56.967	100	60.644	70.614	81.72	2.06	FALSE	FALSE
12caA00	P00918	5-259	255	99.608	99.608	96.726	97.34	97.836	0.355	FALSE	FALSE
15c8H02	P01869	1-98	98	97.959	97.959	65.154	82.71	88.746	1.323	FALSE	FALSE
1a0hD02	P00735	307-356	50	100	100	38.101	43.286	67.555	10.431	TRUE	TRUE
1a0lA01	P20231	31-42,140-261	134	58.009	100	94.545	95.718	96.66	0.357	FALSE	FALSE
1a0lB01	P20231	31-42,140-261	134	58.009	100	94.545	95.718	96.66	0.357	FALSE	FALSE
1a0hE01	P00735	367-378,484-610	139	56.967	100	60.644	70.614	81.72	2.052	FALSE	FALSE
1a0hB02	P00735	379-483,611-625	120	48.583	100	85.165	89.892	92.308	0.931	FALSE	FALSE
1a0hD01	P00735	218-296	79	98.734	98.734	81.51	88.09	90.208	1.754	TRUE	FALSE
1a0lA02	P20231	43-138,261-274	110	46.983	99.091	94.917	96.662	97.782	1.628	FALSE	FALSE
1a0lB02	P20231	43-138,261-274	110	46.983	99.091	94.917	96.662	97.782	1.63	FALSE	FALSE
1a0lC01	P20231	31-42,140-261	134	58.009	100	94.545	95.718	96.66	0.35	FALSE	FALSE
1a0lC02	P20231	43-138,261-274	110	46.983	99.091	94.917	96.662	97.782	1.622	FALSE	FALSE
1a0hE02	P00735	379-483,611-625	120	48.583	100	85.165	89.892	92.308	0.902	FALSE	FALSE
1a07B00	P12931	146-249	104	100	100	89.025	90.468	92.107	0.553	FALSE	FALSE
117eB00	P00817	2-283	282	99.291	99.291	97.37	98.022	98.333	0.291	FALSE	FALSE
117eA00	P00817	2-283	282	99.291	99.291	97.37	98.022	98.333	0.292	FALSE	FALSE
19gsB02	P09211	80-187	108	100	100	98.101	98.394	98.501	0.177	FALSE	FALSE
19gsB01	P09211	3-79,188-209	99	47.826	100	97.324	97.784	98.052	0.356	FALSE	FALSE
